MATCHUP,WL,MIN,FTM,FTA,FTM,FGM,FGA,PTS,REB,AST,PLUS_MINUS
DEN vs. UTA,W,32,10,12,10,8,18,27,14,6,28
DEN vs. MIL,W,38,4,7,4,16,25,39,10,10,14
DEN vs. WAS,L,39,7,7,7,16,30,40,13,9,6
DEN vs. LAL,W,38,12,17,12,8,16,28,7,5,2
DEN vs. MIN,L,38,6,8,6,13,23,34,8,4,-24
DEN @ OKC,W,40,4,5,4,15,20,35,18,8,8
DEN @ OKC,L,41,2,6,2,10,23,24,13,9,-13
DEN vs. PHX,W,45,2,3,2,13,22,31,21,22,8
DEN vs. SAC,W,38,4,6,4,9,18,22,15,6,-7
DEN @ BOS,L,39,0,0,0,9,15,20,14,9,0
DEN @ DET,W,34,11,12,11,6,12,23,17,15,33
DEN @ MIL,L,38,5,7,5,13,16,32,14,10,-5
DEN @ IND,W,39,0,0,0,9,14,18,9,19,17
DEN vs. LAL,L,35,8,10,8,2,7,12,13,10,-11
DEN vs. CHA,W,37,1,2,1,11,22,29,17,9,14
DEN vs. POR,W,36,4,4,4,11,20,26,15,10,6
DEN vs. POR,W,31,8,8,8,15,22,40,7,8,22
DEN @ PHX,W,29,3,3,3,11,13,26,11,9,19
DEN vs. ORL,W,31,4,6,4,11,16,28,10,12,22
DEN vs. NOP,W,36,3,3,3,15,28,38,8,10,24
DEN vs. NOP,W,36,8,10,8,9,13,27,14,10,11
DEN @ CHA,W,37,8,9,8,9,17,28,13,17,-2
DEN @ PHI,W,37,4,5,4,11,16,28,9,13,0
DEN @ NYK,L,33,2,2,2,6,15,17,6,6,-3
DEN @ CHI,L,40,2,2,2,15,21,33,12,14,1
DEN @ MIN,L,32,0,1,0,9,13,20,3,11,-24
DEN vs. SAC,W,37,9,10,9,12,19,35,22,17,11
DEN vs. PHI,W,30,5,5,5,10,15,27,13,10,21
DEN @ ORL,W,30,6,7,6,7,9,20,14,10,20
DEN @ MIA,W,31,5,5,5,9,12,24,12,10,6
DEN @ DAL,W,29,1,2,1,4,7,10,14,10,23
DEN @ DAL,W,39,7,9,7,6,13,19,18,9,-2
DEN vs. BKN,W,38,6,8,6,14,21,35,12,15,33
DEN @ SAS,W,43,5,6,5,19,35,46,9,10,7
DEN vs. SAS,L,37,8,9,8,15,36,41,18,9,7
DEN vs. ATL,W,30,6,6,6,8,16,23,17,15,31
DEN @ UTA,W,38,5,6,5,14,33,36,22,11,20
DEN vs. DET,W,37,11,14,11,11,17,37,9,8,25
DEN vs. CLE,L,36,3,4,3,12,19,27,14,13,-15
DEN @ PHX,L,38,3,4,3,10,19,25,15,2,-3
DEN vs. PHX,W,30,4,5,4,12,17,32,2,7,19
DEN @ NOP,W,43,3,5,3,11,20,27,13,10,6
DEN @ POR,L,37,4,4,4,13,18,34,6,8,-5
DEN @ SAC,W,38,3,4,3,8,19,20,14,13,4
DEN vs. LAC,W,30,2,4,2,6,9,16,7,2,14
DEN @ ATL,W,35,11,13,11,17,29,48,14,8,25
DEN @ WAS,L,39,9,13,9,22,39,56,16,8,-1
DEN @ CLE,L,39,1,1,1,13,26,27,20,11,-8
DEN vs. GSW,W,40,7,9,7,14,24,38,10,6,23
DEN @ LAC,L,39,2,4,2,12,24,28,14,11,-7
DEN @ UTA,W,34,2,3,2,13,19,30,10,7,20
DEN vs. NYK,L,32,2,2,2,9,20,22,7,7,-20
DEN @ LAL,W,37,7,8,7,12,20,34,13,8,39
DEN vs. DAL,L,39,5,7,5,13,22,33,17,10,4
DEN vs. DAL,W,38,8,8,8,13,21,37,18,15,13
DEN vs. MIA,W,40,7,7,7,11,13,30,11,14,26
DEN vs. OKC,W,39,4,6,4,9,20,23,20,16,8
DEN vs. TOR,W,38,7,8,7,10,22,28,14,13,-1
DEN vs. UTA,W,30,4,4,4,10,18,27,16,9,31
DEN @ MIN,L,40,8,10,8,8,16,26,9,13,6
DEN @ BKN,W,41,11,13,11,9,16,29,18,16,8
DEN @ TOR,W,44,1,2,1,18,27,40,10,4,9
DEN vs. LAC,L,37,6,8,6,14,26,41,9,4,7
DEN vs. OKC,L,35,3,4,3,6,13,16,12,13,-9
