MATCHUP,WL,MIN,FGM,FGA,PTS,REB,AST,PLUS_MINUS
BOS vs. MIA,W,36,7,21,18,11,4,13
BOS @ CLE,L,38,12,27,33,8,4,1
BOS @ CHI,W,36,12,18,35,14,5,13
BOS vs. LAC,W,30,7,15,20,9,4,15
BOS vs. MIN,W,38,8,21,26,8,4,7
BOS @ WAS,W,37,6,19,16,9,8,20
BOS vs. CLE,W,38,11,22,33,12,7,2
BOS vs. TOR,W,42,7,19,24,11,9,1
BOS @ BKN,W,35,12,19,36,9,10,24
BOS vs. ATL,L,37,5,16,20,6,8,4
BOS @ MIL,W,40,7,21,31,12,6,9
BOS vs. BKN,W,42,11,25,33,9,6,10
BOS vs. GSW,L,37,10,20,32,4,2,-5
BOS @ ATL,W,30,10,21,28,6,9,27
BOS @ CHA,W,34,7,15,29,7,3,4
BOS @ CHA,W,36,9,19,32,11,3,16
BOS @ IND,L,43,10,25,37,8,4,-7
BOS vs. MIL,W,36,6,16,15,8,4,18
BOS @ DET,W,38,12,26,37,4,2,1
BOS @ WAS,W,29,9,20,25,11,6,14
BOS vs. NYK,W,30,14,18,37,4,10,26
